tree,loss
0,0.41353437304496765
1,0.4557751715183258
2,0.19777485728263855
3,0.11167101562023163
4,0.24455629289150238
5,0.06881231814622879
6,0.21857887506484985
7,0.16857868432998657
8,0.23463164269924164
9,0.11702325195074081
10,0.15149299800395966
11,0.24443556368350983
12,0.19244837760925293
13,0.36632654070854187
14,0.15541157126426697
15,0.04765969514846802
16,0.2917861342430115
17,0.13127689063549042
18,0.1063259020447731
19,0.08578381687402725
20,0.10815438628196716
21,0.37772896885871887
22,0.21389952301979065
23,0.29377931356430054
24,0.2705398201942444
25,0.28578662872314453
26,0.02234921045601368
27,0.12330915033817291
28,0.13884568214416504
29,0.15157927572727203
30,0.2705027461051941
31,0.24456529319286346
32,0.1604144424200058
33,0.08868750184774399
34,0.0675630271434784
35,0.06254301220178604
36,0.10160937905311584
37,0.1462535709142685
38,0.09964726865291595
39,0.0861944928765297
40,0.14499197900295258
41,0.3326064646244049
42,0.21509911119937897
43,0.13333624601364136
44,0.1517023742198944
45,0.22178202867507935
46,0.15390995144844055
47,0.1707228124141693
48,0.09237635880708694
49,0.0863749161362648
