Topologia: rare_12comp_2AND_6OR
T_max: 100, Step: 2
Metodo: DirectPredictor + Adaptive IS + SMC + Weight Clipping
SMC steps: 10, ESS threshold: 0.5, Clip: 90%
Pointwise CI: normal approximation on MC estimates (95%)
DKW band: simultaneous 95% band on MC estimates
====================================================================================================

t	P_is	P_mc	std_is	std_mc	cp_lo	cp_hi	dkw_lo	dkw_hi	cv_is	cv_mc	n_top_is	n_top_mc	ess	ess_ratio
2.0	1.219493e-04	1.237000e-04	1.187060e-06	3.516884e-06	1.169964e-04	1.307877e-04	0.000000e+00	5.531694e-04	0.0623	0.0284	41	1237	40.84	0.9961
4.0	4.264366e-04	4.238000e-04	3.925289e-06	6.508613e-06	4.112338e-04	4.367500e-04	0.000000e+00	8.532694e-04	0.1112	0.0154	146	4238	144.16	0.9874
6.0	9.115942e-04	8.475000e-04	7.432337e-06	9.202074e-06	8.296550e-04	8.657285e-04	4.180306e-04	1.276969e-03	0.1440	0.0109	312	8475	305.49	0.9791
8.0	1.373247e-03	1.322200e-03	1.185517e-05	1.149109e-05	1.299869e-03	1.344915e-03	8.927306e-04	1.751669e-03	0.1876	0.0087	472	13222	455.64	0.9653
10.0	1.787404e-03	1.883300e-03	1.532482e-05	1.371041e-05	1.856619e-03	1.910364e-03	1.453831e-03	2.312769e-03	0.2125	0.0073	614	18833	586.77	0.9557
12.0	2.364649e-03	2.433600e-03	1.919443e-05	1.558101e-05	2.403252e-03	2.464330e-03	2.004131e-03	2.863069e-03	0.2300	0.0064	803	24336	761.21	0.9480
14.0	3.065459e-03	3.030000e-03	2.395973e-05	1.738050e-05	2.996125e-03	3.064257e-03	2.600531e-03	3.459469e-03	0.2497	0.0057	1021	30300	959.18	0.9395
16.0	3.420438e-03	3.627300e-03	2.624155e-05	1.901090e-05	3.590230e-03	3.664752e-03	3.197831e-03	4.056769e-03	0.2589	0.0052	1139	36273	1064.16	0.9343
18.0	4.195037e-03	4.229400e-03	3.088723e-05	2.052197e-05	4.189368e-03	4.269813e-03	3.799931e-03	4.658869e-03	0.2713	0.0049	1358	42294	1261.05	0.9286
20.0	4.911562e-03	4.862600e-03	3.569136e-05	2.199763e-05	4.819675e-03	4.905905e-03	4.433131e-03	5.292069e-03	0.2867	0.0045	1557	48626	1434.17	0.9211
22.0	5.466781e-03	5.423700e-03	3.772131e-05	2.322560e-05	5.378368e-03	5.469412e-03	4.994231e-03	5.853169e-03	0.2840	0.0043	1694	54237	1561.68	0.9219
24.0	5.692942e-03	6.104600e-03	3.998958e-05	2.463196e-05	6.056512e-03	6.153068e-03	5.675131e-03	6.534069e-03	0.2913	0.0040	1720	61046	1579.80	0.9185
26.0	6.636413e-03	6.791900e-03	4.376513e-05	2.597262e-05	6.741184e-03	6.842995e-03	6.362431e-03	7.221369e-03	0.2918	0.0038	1958	67919	1796.97	0.9178
28.0	7.264907e-03	7.417500e-03	4.509107e-05	2.713389e-05	7.364507e-03	7.470871e-03	6.988031e-03	7.846969e-03	0.2813	0.0037	2054	74175	1895.32	0.9227
30.0	8.064180e-03	7.979800e-03	4.805417e-05	2.813561e-05	7.924844e-03	8.035134e-03	7.550331e-03	8.409269e-03	0.2796	0.0035	2201	79798	2033.24	0.9238
32.0	8.459038e-03	8.663200e-03	5.115880e-05	2.930554e-05	8.605951e-03	8.720827e-03	8.233731e-03	9.092669e-03	0.2864	0.0034	2243	86632	2065.14	0.9207
34.0	9.064547e-03	9.302600e-03	5.408096e-05	3.035797e-05	9.243288e-03	9.362289e-03	8.873131e-03	9.732069e-03	0.2892	0.0033	2350	93026	2159.31	0.9189
36.0	9.791152e-03	9.901800e-03	5.572553e-05	3.131095e-05	9.840620e-03	9.963357e-03	9.472331e-03	1.033127e-02	0.2819	0.0032	2453	99018	2263.21	0.9226
38.0	1.061591e-02	1.049450e-02	5.843415e-05	3.222478e-05	1.043153e-02	1.055785e-02	1.006503e-02	1.092397e-02	0.2809	0.0031	2605	104945	2403.11	0.9225
