  C0: ['8.223', '7.911', '7.532', '7.173', '6.748', '6.296', '5.846', '5.390', '4.952', '4.514', '4.088', '3.715', '3.335', '2.985', '2.716', '2.545', '2.394', '2.311', '2.298']
  C1: ['8.235', '7.884', '7.542', '7.172', '6.752', '6.303', '5.853', '5.371', '4.930', '4.515', '4.080', '3.725', '3.363', '2.934', '2.706', '2.533', '2.409', '2.320', '2.250']
  C2: ['8.230', '7.863', '7.548', '7.165', '6.745', '6.303', '5.837', '5.376', '4.964', '4.523', '4.089', '3.723', '3.335', '2.984', '2.696', '2.559', '2.433', '2.298', '2.268']
  C3: ['8.217', '7.883', '7.540', '7.182', '6.768', '6.296', '5.835', '5.410', '4.953', '4.521', '4.136', '3.703', '3.338', '3.010', '2.709', '2.541', '2.431', '2.309', '2.293']
  C4: ['8.248', '7.903', '7.533', '7.175', '6.753', '6.298', '5.841', '5.372', '4.941', '4.524', '4.049', '3.707', '3.329', '2.992', '2.771', '2.567', '2.372', '2.312', '2.245']
  C5: ['8.231', '7.903', '7.542', '7.173', '6.745', '6.299', '5.811', '5.376', '4.947', '4.513', '4.148', '3.715', '3.335', '3.001', '2.726', '2.549', '2.475', '2.324', '2.234']
  C6: ['8.203', '7.890', '7.534', '7.187', '6.739', '6.306', '5.838', '5.363', '4.952', '4.534', '4.096', '3.718', '3.360', '2.981', '2.689', '2.550', '2.383', '2.297', '2.206']
  C7: ['8.231', '7.905', '7.531', '7.176', '6.767', '6.297', '5.834', '5.383', '4.935', '4.519', '4.091', '3.708', '3.345', '2.997', '2.691', '2.563', '2.412', '2.306', '2.223']
  C8: ['8.225', '7.894', '7.531', '7.182', '6.737', '6.306', '5.821', '5.372', '4.943', '4.509', '4.094', '3.679', '3.325', '2.941', '2.700', '2.553', '2.400', '2.312', '2.241']
  C9: ['8.237', '7.879', '7.537', '7.176', '6.748', '6.308', '5.818', '5.377', '4.939', '4.538', '4.135', '3.703', '3.364', '3.017', '2.663', '2.530', '2.449', '2.322', '2.245']
  C10: ['8.203', '7.905', '7.539', '7.178', '6.747', '6.299', '5.835', '5.364', '4.946', '4.518', '4.032', '3.735', '3.347', '3.031', '2.693', '2.533', '2.392', '2.310', '2.240']
  C11: ['8.213', '7.898', '7.536', '7.174', '6.760', '6.294', '5.831', '5.368', '4.929', '4.523', '4.044', '3.711', '3.297', '2.932', '2.730', '2.551', '2.417', '2.325', '2.319']
  C12: ['8.205', '7.884', '7.537', '7.174', '6.749', '6.297', '5.813', '5.377', '4.932', '4.509', '4.096', '3.697', '3.314', '3.007', '2.684', '2.561', '2.403', '2.320', '2.202']
  C13: ['8.205', '7.887', '7.538', '7.178', '6.745', '6.302', '5.863', '5.378', '4.936', '4.522', '3.998', '3.728', '3.349', '2.960', '2.702', '2.553', '2.419', '2.295', '2.258']
  C14: ['8.204', '7.894', '7.531', '7.179', '6.757', '6.303', '5.820', '5.374', '4.947', '4.507', '4.167', '3.691', '3.347', '3.001', '2.706', '2.554', '2.386', '2.317', '2.202']
  C15: ['8.196', '7.880', '7.538', '7.169', '6.757', '6.307', '5.845', '5.390', '4.956', '4.521', '4.070', '3.716', '3.312', '2.934', '2.722', '2.556', '2.410', '2.303', '2.257']
  C16: ['8.240', '7.892', '7.526', '7.158', '6.746', '6.298', '5.815', '5.387', '4.934', '4.507', '4.077', '3.707', '3.376', '2.972', '2.712', '2.555', '2.379', '2.287', '2.238']
  C17: ['8.229', '7.920', '7.539', '7.171', '6.756', '6.300', '5.840', '5.377', '4.937', '4.528', '4.135', '3.744', '3.311', '2.990', '2.730', '2.565', '2.439', '2.295', '2.225']
  C18: ['8.240', '7.905', '7.537', '7.167', '6.755', '6.299', '5.840', '5.369', '4.937', '4.519', '4.072', '3.719', '3.344', '2.993', '2.701', '2.553', '2.414', '2.310', '2.227']
  C19: ['8.204', '7.901', '7.546', '7.169', '6.749', '6.295', '5.831', '5.362', '4.940', '4.528', '4.167', '3.730', '3.339', '3.074', '2.713', '2.559', '2.409', '2.300', '2.259']
