timestamp,structure,n_components,T,alpha_min,alpha_max,beta_min,beta_max,N_is,N_mc,n_top_is,n_top_mc,top_rate_is,top_rate_mc,p_is,p_mc,var_is,var_mc,cv_is,cv_mc,efficiency_gain,rel_error
2026-01-11 12:12:40,AND-2,2,100,1.5947912,3.2455337,0.9351314,1.6093909,3623,3930,193,69,0.05327077008004416,0.017557251908396947,0.013492678098991646,0.017557251908396947,0.005089440440356876,0.017248994813822045,0.08784209638663693,0.11932435081315025,3.389173135232236,23.150398653569326
2026-01-11 12:14:38,OR-3,2,100,1.5947912,3.2455337,0.9351314,1.6093909,3623,3930,217,60,0.05989511454595639,0.015267175572519083,0.0142359304229092,0.015267175572519083,0.0058212702719721504,0.015034088922556959,0.08904075993163847,0.12811016251827181,2.582613110224765,6.754655729944738
2026-01-11 12:16:29,GENERICO,2,100,1.5947912,3.2455337,0.9351314,1.6093909,3623,3930,129,65,0.035605851504278224,0.01653944020356234,0.015506788542012418,0.01653944020356234,0.011607034012469422,0.016265887121315124,0.11542625277177296,0.12300472534990975,1.4013818779061646,6.243570815217218
