  C21: ['14.895', '13.904', '12.903', '11.880', '10.869', '9.824', '8.847', '7.880', '6.943', '6.128', '5.378', '4.738', '4.228', '3.891', '3.596', '3.425', '3.044', '2.807']
  C22: ['14.891', '13.914', '12.910', '11.901', '10.837', '9.827', '8.855', '7.848', '6.930', '6.117', '5.399', '4.724', '4.232', '3.888', '3.581', '3.319', '3.087', '2.857']
  C23: ['14.903', '13.940', '12.883', '11.914', '10.854', '9.826', '8.849', '7.845', '6.948', '6.203', '5.401', '4.724', '4.231', '3.862', '3.611', '3.349', '3.065', '2.788']
  C24: ['14.899', '13.922', '12.899', '11.884', '10.849', '9.817', '8.833', '7.878', '6.944', '6.151', '5.406', '4.690', '4.166', '3.839', '3.584', '3.296', '3.095', '2.910']
  C25: ['14.908', '13.922', '12.885', '11.883', '10.849', '9.841', '8.843', '7.868', '6.917', '6.166', '5.380', '4.708', '4.177', '3.863', '3.574', '3.259', '3.041', '2.850']
  C26: ['14.887', '13.923', '12.905', '11.889', '10.872', '9.795', '8.861', '7.845', '6.916', '6.177', '5.388', '4.716', '4.234', '3.886', '3.601', '3.362', '3.098', '2.879']
  C27: ['14.910', '13.924', '12.896', '11.881', '10.893', '9.829', '8.813', '7.845', '6.941', '6.156', '5.407', '4.732', '4.218', '3.871', '3.585', '3.358', '3.013', '2.861']
  C28: ['14.904', '13.903', '12.923', '11.903', '10.915', '9.823', '8.820', '7.856', '6.939', '6.172', '5.406', '4.737', '4.247', '3.890', '3.601', '3.259', '3.065', '2.873']
  C29: ['14.895', '13.910', '12.886', '11.893', '10.852', '9.807', '8.824', '7.844', '6.956', '6.137', '5.409', '4.706', '4.227', '3.872', '3.585', '3.307', '3.039', '2.867']
  C30: ['14.903', '13.918', '12.907', '11.888', '10.839', '9.823', '8.839', '7.853', '6.940', '6.127', '5.369', '4.711', '4.203', '3.905', '3.600', '3.383', '3.012', '2.843']
